,id,compendiumUrl,numPages,curatorApiUrl,GENERIC,SAMPLEID,MISSION,STATION,LANDMARK,BAGNUMBER,ORIGINALWEIGHT,SAMPLETYPE,SAMPLESUBTYPE,PRISTINITY,PRISTINITYDATE,HASTHINSECTION,HASDISPLAYSAMPLE,DISPLAYSAMPLENUMBER,GENERICDESCRIPTION
28,12012,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/12012.pdf,4,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/12012,12012,,Apollo 12,,,,176.2,Basalt,Olivine,91.922,"April, 16 2014 00:00:00",True,,,"C, medium-grained, no vesicles & vugs, ilmenite, chromite, silica, olivine porphyritic, subophitic groundmass"
29,12014,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/12014.pdf,4,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/12014,12014,,Apollo 12,,,,159.4,Basalt,Olivine,91.176,"September, 19 2014 00:00:00",True,,,"C, fine-grained, no vesicles & vugs, ilmenite, chromite, silica, olivine porphyritic, subophitic groundmass"
30,12015,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/12015.pdf,4,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/12015,12015,,Apollo 12,,MIDDLE CRESCENT CRATER,,191.2,Basalt,Olivine,93.524,"September, 25 2014 00:00:00",True,,,"C, fine-grained, 1 large vesicle, ilmenite, chromite, ulvospinel, vitrophyre with olivine phenocrysts"
31,12016,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/12016.pdf,3,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/12016,12016,,Apollo 12,,,,2028.0,Basalt,Ilmenite,100.076,"December, 03 2014 00:00:00",True,,,"C, medium-grained, few vesicles & vugs, olivine, ulvospinel, ilmenite, Fe metal, intersertal to subophitic, cryptocrystalline matrix"
32,12017,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/12017.pdf,8,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/12017,12017,,Apollo 12,,,,53.0,Basalt,Pigeonite,62.445,"December, 03 2014 00:00:00",True,,,"C, medium-grained, no vesicles & vugs, ilmenite, chromite, ulvospinel, silica, pigeonite phenocrysts, radiate to subophitic groundmass"
33,12018,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/12018.pdf,9,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/12018,12018,,Apollo 12,,,,787.0,Basalt,Olivine,57.045,"March, 04 2015 00:00:00",True,True,"12018,13","C, medium-grained, rare vugs, ilmenite, chromite, ulvospinel, silica, large olivine and pyroxene in radiate matrix"
34,12019,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/12019.pdf,4,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/12019,12019,,Apollo 12,,,,462.4,Basalt,Pigeonite,97.139,"December, 03 2014 00:00:00",True,,,"C, medium-grained, few vesicles, skeleton olivine, ilmenite, Cr-spinel, ulvospinel, Fe metal, abundant small pigeonite phenocrysts, radiate to subophitic groundmass"
35,12020,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/12020.pdf,8,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/12020,12020,,Apollo 12,,,,312.0,Basalt,Olivine,76.654,"September, 04 2014 00:00:00",True,,,"C, medium-grained, few vugs, ilmenite, Cr-spinel, ulvospinel, silica, rounded olivine, elongated pyroxenite, radiate groundmass"
36,12021,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/12021.pdf,12,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/12021,12021,,Apollo 12,,,,1877.0,Basalt,Pigeonite,85.775,"July, 15 2014 00:00:00",True,,,"C, few vugs, radiate groundmass, plagioclase, ilmenite, ilmenite, olivine, silica, elongated pigeonite phenocrysts"
37,12022,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/12022.pdf,11,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/12022,12022,,Apollo 12,,,,1864.0,Basalt,Ilmenite,79.757,"January, 14 2015 00:00:00",True,True,"12022,92","C, medium-grained, few vugs, ilmenite, silica, porphyritic, olivine and pyroxene phenocrysts, radiate groundmass"
